Principle,Observer #1 video batch 1 conforming,Observer #1 video batch 1 conflicting,Observer #1 video batch 2 conforming,Observer #1 video batch 2 conflicting,Observer #1 both batches conforming,Observer #1 both batches conflicting,Observer #2 video batch 1 conforming,Observer #2 video batch 1 conflicting,Observer #2 video batch 2 conforming,Observer #2 video batch 2 conflicting,Observer #2 both batches conforming,Observer #2 both batches conflicting,Observer #3 video batch 1 conforming,Observer #3 video batch 1 conflicting,Observer #3 video batch 2 conforming,Observer #3 video batch 2 conflicting,Observer #3 both batches conforming,Observer #3 both batches conflicting,Observer #4 video batch 1 conforming,Observer #4 video batch 1 conflicting,Observer #4 video batch 2 conforming,Observer #4 video batch 2 conflicting,Observer #4 both batches conforming,Observer #4 both batches conflicting,All observers conforming,All observers conflicting
1,5,0,2,0,7,0,7,1,4,0,11,1,9,2,12,0,21,2,9,15,2,3,11,18,50,21
2,23,0,16,0,39,0,24,0,15,0,39,0,35,0,33,2,68,2,19,1,18,0,37,1,183,3
3,3,0,2,0,5,0,8,0,4,0,12,0,1,0,1,0,2,0,4,13,1,0,5,13,24,13
4,4,0,0,0,4,0,11,0,4,0,15,0,9,0,3,0,12,0,8,1,1,0,9,1,40,1
5,1,0,0,0,1,0,10,0,3,0,13,0,2,0,4,0,6,0,13,20,3,5,16,25,36,25
6,3,0,1,0,4,0,10,0,4,0,14,0,6,0,1,0,7,0,8,35,6,1,14,36,39,36
7,4,0,6,0,10,0,2,0,0,0,2,0,7,0,9,0,16,0,2,0,6,0,8,0,36,0
8,6,0,0,0,6,0,2,0,0,0,2,0,5,0,0,0,5,0,14,0,0,0,14,0,27,0
9,1,0,0,0,1,0,6,0,1,0,7,0,2,4,0,0,2,4,5,7,4,1,9,8,19,12
10,16,0,4,0,20,0,8,0,3,0,11,0,4,2,0,0,4,2,19,5,13,2,32,7,67,9
